iter	RMSE
0	45010646.16
1	44838064.1
2	44666143.75
3	44494882.6
4	44324278.1
5	44154327.74
6	43985029.01
7	43816379.42
8	43648376.47
9	43481017.68
10	43314300.59
11	43148222.74
12	42982781.67
13	42817974.94
14	42653800.13
15	42490254.8
16	42327336.54
17	42165042.95
18	42003371.64
19	41842320.22
20	41681886.31
21	41522067.54
22	41362861.55
23	41204266
24	41046278.55
25	40888896.86
26	40732118.61
27	40575941.49
28	40420363.19
29	40265381.41
30	40110993.88
31	39957198.3
32	39803992.42
33	39651373.96
34	39499340.69
35	39347890.34
36	39197020.7
37	39046729.52
38	38897014.6
39	38747873.73
40	38599304.7
41	38451305.32
42	38303873.4
43	38157006.78
44	38010703.28
45	37864960.74
46	37719777.02
47	37575149.97
48	37431077.45
49	37287557.35
50	37144587.53
51	37002165.9
52	36860290.35
53	36718958.79
54	36578169.12
55	36437919.28
56	36298207.19
57	36159030.79
58	36020388.03
59	35882276.86
60	35744695.24
61	35607641.15
62	35471112.55
63	35335107.44
64	35199623.81
65	35064659.66
66	34930212.99
67	34796281.82
68	34662864.18
69	34529958.1
70	34397561.61
71	34265672.76
72	34134289.61
73	34003410.21
74	33873032.64
75	33743154.96
76	33613775.28
77	33484891.66
78	33356502.22
79	33228605.05
80	33101198.28
81	32974280.01
82	32847848.38
83	32721901.52
84	32596437.57
85	32471454.68
86	32346951.01
87	32222924.72
88	32099373.97
89	31976296.95
90	31853691.83
91	31731556.82
92	31609890.1
93	31488689.88
94	31367954.37
95	31247681.8
96	31127870.38
97	31008518.34
98	30889623.93
99	30771185.39
100	30653200.98
101	30535668.95
102	30418587.56
103	30301955.09
104	30185769.82
105	30070030.04
106	29954734.03
107	29839880.09
108	29725466.53
109	29611491.67
110	29497953.81
111	29384851.28
112	29272182.42
113	29159945.55
114	29048139.04
115	28936761.21
116	28825810.44
117	28715285.07
118	28605183.5
119	28495504.07
120	28386245.19
121	28277405.23
122	28168982.59
123	28060975.67
124	27953382.88
125	27846202.62
126	27739433.32
127	27633073.4
128	27527121.29
129	27421575.43
130	27316434.26
131	27211696.22
132	27107359.78
133	27003423.39
134	26899885.51
135	26796744.63
136	26693999.21
137	26591647.75
138	26489688.72
139	26388120.64
140	26286941.99
141	26186151.28
142	26085747.04
143	25985727.76
144	25886091.99
145	25786838.24
146	25687965.06
147	25589470.98
148	25491354.55
149	25393614.33
150	25296248.87
151	25199256.73
152	25102636.48
153	25006386.7
154	24910505.96
155	24814992.85
156	24719845.97
157	24625063.9
158	24530645.25
159	24436588.63
160	24342892.64
161	24249555.91
162	24156577.05
163	24063954.7
164	23971687.48
165	23879774.04
166	23788213.02
167	23697003.06
168	23606142.83
169	23515630.98
170	23425466.17
171	23335647.08
172	23246172.38
173	23157040.74
174	23068250.86
175	22979801.42
176	22891691.12
177	22803918.66
178	22716482.73
179	22629382.06
180	22542615.36
181	22456181.34
182	22370078.72
183	22284306.25
184	22198862.65
185	22113746.66
186	22028957.03
187	21944492.51
188	21860351.84
189	21776533.79
190	21693037.11
191	21609860.59
192	21527002.98
193	21444463.07
194	21362239.64
195	21280331.48
196	21198737.37
197	21117456.11
198	21036486.5
199	20955827.36
200	20875477.48
201	20795435.68
202	20715700.78
203	20636271.61
204	20557146.99
205	20478325.75
206	20399806.73
207	20321588.77
208	20243670.72
209	20166051.43
210	20088729.75
211	20011704.54
212	19934974.66
213	19858538.99
214	19782396.38
215	19706545.73
216	19630985.91
217	19555715.81
218	19480734.3
219	19406040.3
220	19331632.69
221	19257510.38
222	19183672.27
223	19110117.28
224	19036844.31
225	18963852.29
226	18891140.15
227	18818706.79
228	18746551.17
229	18674672.21
230	18603068.84
231	18531740.03
232	18460684.71
233	18389901.83
234	18319390.35
235	18249149.23
236	18179177.43
237	18109473.92
238	18040037.67
239	17970867.66
240	17901962.86
241	17833322.26
242	17764944.85
243	17696829.61
244	17628975.54
245	17561381.64
246	17494046.92
247	17426970.37
248	17360151.01
249	17293587.85
250	17227279.91
251	17161226.22
252	17095425.79
253	17029877.65
254	16964580.84
255	16899534.4
256	16834737.36
257	16770188.77
258	16705887.68
259	16641833.13
260	16578024.18
261	16514459.89
262	16451139.33
263	16388061.55
264	16325225.62
265	16262630.63
266	16200275.64
267	16138159.73
268	16076282
269	16014641.51
270	15953237.38
271	15892068.68
272	15831134.51
273	15770433.99
274	15709966.2
275	15649730.27
276	15589725.29
277	15529950.39
278	15470404.67
279	15411087.28
280	15351997.32
281	15293133.92
282	15234496.22
283	15176083.36
284	15117894.46
285	15059928.68
286	15002185.15
287	14944663.02
288	14887361.45
289	14830279.58
290	14773416.58
291	14716771.61
292	14660343.83
293	14604132.41
294	14548136.52
295	14492355.33
296	14436788.01
297	14381433.76
298	14326291.75
299	14271361.17
300	14216641.2
301	14162131.04
302	14107829.89
303	14053736.95
304	13999851.41
305	13946172.48
306	13892699.37
307	13839431.29
308	13786367.45
309	13733507.07
310	13680849.37
311	13628393.58
312	13576138.91
313	13524084.6
314	13472229.88
315	13420573.98
316	13369116.15
317	13317855.62
318	13266791.63
319	13215923.44
320	13165250.28
321	13114771.42
322	13064486.11
323	13014393.61
324	12964493.17
325	12914784.06
326	12865265.55
327	12815936.91
328	12766797.4
329	12717846.31
330	12669082.91
331	12620506.48
332	12572116.31
333	12523911.67
334	12475891.86
335	12428056.17
336	12380403.9
337	12332934.34
338	12285646.79
339	12238540.55
340	12191614.92
341	12144869.22
342	12098302.76
343	12051914.84
344	12005704.79
345	11959671.92
346	11913815.55
347	11868135
348	11822629.61
349	11777298.69
350	11732141.58
351	11687157.62
352	11642346.14
353	11597706.47
354	11553237.97
355	11508939.96
356	11464811.81
357	11420852.86
358	11377062.45
359	11333439.95
360	11289984.71
361	11246696.09
362	11203573.45
363	11160616.15
364	11117823.55
365	11075195.04
366	11032729.97
367	10990427.73
368	10948287.68
369	10906309.21
370	10864491.7
371	10822834.52
372	10781337.07
373	10739998.73
374	10698818.89
375	10657796.94
376	10616932.29
377	10576224.31
378	10535672.43
379	10495276.03
380	10455034.51
381	10414947.3
382	10375013.79
383	10335233.39
384	10295605.53
385	10256129.6
386	10216805.04
387	10177631.25
388	10138607.67
389	10099733.72
390	10061008.81
391	10022432.39
392	9984003.879
393	9945722.713
394	9907588.327
395	9869600.157
396	9831757.643
397	9794060.227
398	9756507.353
399	9719098.465
400	9681833.013
401	9644710.445
402	9607730.215
403	9570891.776
404	9534194.585
