ปีงบประมาณ,อำเภอ,รายการข้อมูล,ค่าข้อมูล,หน่วย,ที่มา
2563,เมืองสงขลา,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),"745,209,437.00",บาท,กรมพัฒนาชุมชน
2563,สทิงพระ,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),"440,976,250.00",บาท,กรมพัฒนาชุมชน
2563,จะนะ,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),"215,216,800.00",บาท,กรมพัฒนาชุมชน
2563,นาทวี,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),"204,576,591.00",บาท,กรมพัฒนาชุมชน
2563,เทพา,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),"105,729,550.00",บาท,กรมพัฒนาชุมชน
2563,สะบ้าย้อย,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),"172,995,660.00",บาท,กรมพัฒนาชุมชน
2563,ระโนด,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),"848,695,969.00",บาท,กรมพัฒนาชุมชน
2563,กระแสสินธุ์,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),"104,209,575.00",บาท,กรมพัฒนาชุมชน
2563,รัตภูมิ,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),"132,083,142.00",บาท,กรมพัฒนาชุมชน
2563,สะเดา,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),"140,701,770.00",บาท,กรมพัฒนาชุมชน
2563,หาดใหญ่,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),"747,138,610.00",บาท,กรมพัฒนาชุมชน
2563,นาหม่อม,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),"104,288,130.00",บาท,กรมพัฒนาชุมชน
2563,ควนเนียง,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),"207,808,605.00",บาท,กรมพัฒนาชุมชน
2563,บางกล่ำ,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),"82,652,949.00",บาท,กรมพัฒนาชุมชน
2563,สิงหนคร,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),"128,443,970.00",บาท,กรมพัฒนาชุมชน
2563,คลองหอยโข่ง,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),"106,040,690.00",บาท,กรมพัฒนาชุมชน
2563,เทศบาลนครสงขลา,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),0,บาท,กรมพัฒนาชุมชน
2563,เทศบาลนครหาดใหญ่,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),0,บาท,กรมพัฒนาชุมชน
2564,เมืองสงขลา,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),"735,828,505.00",บาท,กรมพัฒนาชุมชน
