ปีงบประมาณ,อำเภอ,รายการข้อมูล,ค่าข้อมูล,หน่วย,ที่มา,ปีคริสต์ศักราช
2563,เมืองสงขลา,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),745209437.0,บาท,กรมพัฒนาชุมชน,2020-01-01
2563,สทิงพระ,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),440976250.0,บาท,กรมพัฒนาชุมชน,2020-01-01
2563,จะนะ,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),215216800.0,บาท,กรมพัฒนาชุมชน,2020-01-01
2563,นาทวี,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),204576591.0,บาท,กรมพัฒนาชุมชน,2020-01-01
2563,เทพา,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),105729550.0,บาท,กรมพัฒนาชุมชน,2020-01-01
2563,สะบ้าย้อย,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),172995660.0,บาท,กรมพัฒนาชุมชน,2020-01-01
2563,ระโนด,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),848695969.0,บาท,กรมพัฒนาชุมชน,2020-01-01
2563,กระแสสินธุ์,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),104209575.0,บาท,กรมพัฒนาชุมชน,2020-01-01
2563,รัตภูมิ,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),132083142.0,บาท,กรมพัฒนาชุมชน,2020-01-01
2563,สะเดา,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),140701770.0,บาท,กรมพัฒนาชุมชน,2020-01-01
2563,หาดใหญ่,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),747138610.0,บาท,กรมพัฒนาชุมชน,2020-01-01
2563,นาหม่อม,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),104288130.0,บาท,กรมพัฒนาชุมชน,2020-01-01
2563,ควนเนียง,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),207808605.0,บาท,กรมพัฒนาชุมชน,2020-01-01
2563,บางกล่ำ,รายได้จากการจำหน่ายสินค้าหนึ่งตำบล หนึ่งผลิตภัณฑ์(รวมยอดขายออนไลน์),82652949.0,บาท,กรมพัฒนาชุมชน,2020-01-01
