อำเภอ,ปีงบประมาณ,prediction_label
เมืองสงขลา,2568,911962870.3999939
เมืองสงขลา,2569,983786448.0
เมืองสงขลา,2570,1055610025.6000061
สทิงพระ,2568,470184061.7237403
สทิงพระ,2569,470375789.99057585
สทิงพระ,2570,470567518.2574114
จะนะ,2568,-3775762.4000091553
จะนะ,2569,-47409512.00001526
จะนะ,2570,-91043261.6000061
นาทวี,2568,59014335.599998474
นาทวี,2569,34878618.80000305
นาทวี,2570,10742902.0
เทพา,2568,-573039.5999984741
เทพา,2569,-21204765.599998474
เทพา,2570,-41836491.599998474
สะบ้าย้อย,2568,215997760.0
สะบ้าย้อย,2569,226369568.0
สะบ้าย้อย,2570,236741376.0
ระโนด,2568,1203091929.600006
ระโนด,2569,1267453619.1999817
ระโนด,2570,1331815308.7999878
กระแสสินธุ์,2568,134604723.9999981
กระแสสินธุ์,2569,140662614.3999977
กระแสสินธุ์,2570,146720504.79999924
รัตภูมิ,2568,188213779.20000076
รัตภูมิ,2569,198654161.6000023
รัตภูมิ,2570,209094544.0
สะเดา,2568,122562419.20000005
สะเดา,2569,122344854.39999998
สะเดา,2570,122127289.60000002
หาดใหญ่,2568,436339904.0
หาดใหญ่,2569,378119923.2000122
หาดใหญ่,2570,319899942.3999939
นาหม่อม,2568,126909876.80000114
นาหม่อม,2569,130873944.0
นาหม่อม,2570,134838011.20000076
ควนเนียง,2568,-81644722.7999878
ควนเนียง,2569,-133777841.99998474
ควนเนียง,2570,-185910961.19999695
บางกล่ำ,2568,104518100.79999924
บางกล่ำ,2569,108186572.79999924
บางกล่ำ,2570,111855044.79999924
สิงหนคร,2568,141585479.1999998
สิงหนคร,2569,144068494.39999962
สิงหนคร,2570,146551509.60000038
คลองหอยโข่ง,2568,-28498131.99999237
คลองหอยโข่ง,2569,-54947247.79999542
คลองหอยโข่ง,2570,-81396363.59999847
