iter	RMSE
0	62174003.76
1	61935613.09
2	61698136.48
3	61461570.4
4	61225911.38
5	60991155.93
6	60757300.6
7	60524341.92
8	60292276.47
9	60061100.82
10	59830811.54
11	59601405.26
12	59372878.58
13	59145228.12
14	58918450.54
15	58692542.47
16	58467500.6
17	58243321.59
18	58020002.14
19	57797538.95
20	57575928.74
21	57355168.24
22	57135254.19
23	56916183.35
24	56697952.47
25	56480558.35
26	56263997.78
27	56048267.55
28	55833364.48
29	55619285.41
30	55406027.17
31	55193586.62
32	54981960.61
33	54771146.03
34	54561139.77
35	54351938.73
36	54143539.81
37	53935939.95
38	53729136.07
39	53523125.14
40	53317904.1
41	53113469.93
42	52909819.61
43	52706950.14
44	52504858.52
45	52303541.77
46	52102996.92
47	51903221.01
48	51704211.09
49	51505964.22
50	51308477.48
51	51111747.96
52	50915772.74
53	50720548.94
54	50526073.68
55	50332344.09
56	50139357.3
57	49947110.48
58	49755600.77
59	49564825.36
60	49374781.44
61	49185466.18
62	48996876.82
63	48809010.54
64	48621864.6
65	48435436.22
66	48249722.65
67	48064721.16
68	47880429
69	47696843.47
70	47513961.85
71	47331781.45
72	47150299.57
73	46969513.54
74	46789420.69
75	46610018.35
76	46431303.89
77	46253274.67
78	46075928.06
79	45899261.43
80	45723272.19
81	45547957.74
82	45373315.49
83	45199342.86
84	45026037.28
85	44853396.2
86	44681417.07
87	44510097.35
88	44339434.51
89	44169426.04
90	44000069.42
91	43831362.16
92	43663301.76
93	43495885.75
94	43329111.65
95	43162977.01
96	42997479.37
97	42832616.29
98	42668385.33
99	42504784.08
100	42341810.12
101	42179461.03
102	42017734.44
103	41856627.94
104	41696139.17
105	41536265.75
106	41377005.33
107	41218355.55
108	41060314.07
109	40902878.57
110	40746046.71
111	40589816.18
112	40434184.68
113	40279149.92
114	40124709.59
115	39970861.42
116	39817603.15
117	39664932.51
118	39512847.25
119	39361345.11
120	39210423.88
121	39060081.32
122	38910315.2
123	38761123.33
124	38612503.5
125	38464453.51
126	38316971.18
127	38170054.34
128	38023700.81
129	37877908.44
130	37732675.07
131	37587998.56
132	37443876.78
133	37300307.6
134	37157288.9
135	37014818.57
136	36872894.5
137	36731514.61
138	36590676.8
139	36450379
140	36310619.14
141	36171395.15
142	36032704.98
143	35894546.59
144	35756917.93
145	35619816.97
146	35483241.69
147	35347190.07
148	35211660.11
149	35076649.8
150	34942157.16
151	34808180.2
152	34674716.94
153	34541765.41
154	34409323.64
155	34277389.7
156	34145961.62
157	34015037.47
158	33884615.31
159	33754693.23
160	33625269.3
161	33496341.62
162	33367908.27
163	33239967.37
164	33112517.03
165	32985555.36
166	32859080.5
167	32733090.57
168	32607583.72
169	32482558.1
170	32358011.85
171	32233943.15
172	32110350.15
173	31987231.05
174	31864584.01
175	31742407.23
176	31620698.91
177	31499457.25
178	31378680.45
179	31258366.75
180	31138514.36
181	31019121.52
182	30900186.45
183	30781707.41
184	30663682.65
185	30546110.43
186	30428989.01
187	30312316.66
188	30196091.66
189	30080312.3
190	29964976.87
191	29850083.66
192	29735630.98
193	29621617.14
194	29508040.45
195	29394899.25
196	29282191.86
197	29169916.62
198	29058071.87
199	28946655.96
200	28835667.25
201	28725104.09
202	28614964.86
203	28505247.94
204	28395951.69
205	28287074.52
206	28178614.8
207	28070570.95
208	27962941.37
209	27855724.46
210	27748918.65
211	27642522.36
212	27536534.02
213	27430952.07
214	27325774.95
215	27221001.1
216	27116628.97
217	27012657.04
218	26909083.76
219	26805907.61
220	26703127.06
221	26600740.6
222	26498746.71
223	26397143.9
224	26295930.65
225	26195105.48
226	26094666.9
227	25994613.42
228	25894943.58
229	25795655.89
230	25696748.9
231	25598221.14
232	25500071.17
233	25402297.52
234	25304898.76
235	25207873.46
236	25111220.17
237	25014937.48
238	24919023.96
239	24823478.19
240	24728298.77
241	24633484.29
242	24539033.36
243	24444944.57
244	24351216.54
245	24257847.89
246	24164837.24
247	24072183.22
248	23979884.45
249	23887939.58
250	23796347.25
251	23705106.11
252	23614214.81
253	23523672.01
254	23433476.37
255	23343626.56
256	23254121.27
257	23164959.15
258	23076138.91
259	22987659.23
260	22899518.8
261	22811716.32
262	22724250.5
263	22637120.04
264	22550323.67
265	22463860.09
266	22377728.04
267	22291926.23
268	22206453.42
269	22121308.33
270	22036489.7
271	21951996.29
272	21867826.85
273	21783980.14
274	21700454.91
275	21617249.95
276	21534364.01
277	21451795.87
278	21369544.33
279	21287608.15
280	21205986.14
281	21124677.09
282	21043679.8
283	20962993.08
284	20882615.72
285	20802546.55
286	20722784.39
287	20643328.06
288	20564176.38
289	20485328.19
290	20406782.32
291	20328537.61
292	20250592.92
293	20172947.09
294	20095598.97
295	20018547.42
296	19941791.3
297	19865329.49
298	19789160.85
299	19713284.27
300	19637698.61
301	19562402.76
302	19487395.62
303	19412676.08
304	19338243.02
305	19264095.37
306	19190232.01
307	19116651.87
308	19043353.85
309	18970336.87
310	18897599.86
311	18825141.73
312	18752961.44
313	18681057.9
314	18609430.05
315	18538076.85
316	18466997.23
317	18396190.14
