iter	Passed	Remaining
0	137	137491
1	138	69069
2	138	46151
3	139	34691
4	139	27769
5	139	23148
6	139	19847
7	140	17365
8	140	15435
9	140	13893
10	140	12637
11	140	11583
12	140	10690
13	140	9924
14	141	9270
15	141	8693
16	141	8189
17	142	7749
18	142	7355
19	142	6995
20	143	6674
21	143	6374
22	143	6102
23	144	5861
24	144	5629
25	144	5421
26	145	5225
27	145	5040
28	145	4866
29	145	4704
30	145	4559
31	146	4422
32	146	4293
33	146	4167
34	146	4047
35	147	3940
36	147	3835
37	147	3742
38	148	3648
39	148	3559
40	148	3476
41	149	3400
42	149	3326
43	150	3260
44	150	3193
45	150	3127
46	151	3064
47	151	3003
48	151	2945
49	152	2891
50	152	2836
51	152	2787
52	153	2739
53	153	2692
54	154	2648
55	154	2603
56	154	2563
57	155	2521
58	155	2479
59	155	2438
60	155	2398
61	156	2362
62	156	2329
63	157	2296
64	157	2262
65	157	2229
66	157	2199
67	158	2168
68	158	2141
69	159	2113
70	159	2087
71	159	2059
72	160	2031
73	160	2004
74	160	1977
75	160	1954
76	161	1930
77	161	1906
78	161	1885
79	161	1862
80	162	1843
81	162	1821
82	163	1801
83	163	1782
84	163	1763
85	164	1743
86	164	1725
87	164	1706
88	165	1689
89	165	1674
90	165	1657
91	166	1642
92	166	1626
93	167	1610
94	167	1595
95	168	1582
96	168	1569
97	168	1555
98	169	1542
99	169	1529
100	170	1515
101	170	1501
102	170	1487
103	171	1473
104	171	1462
105	171	1449
106	172	1435
107	172	1422
108	172	1412
109	173	1401
110	173	1389
111	173	1377
112	173	1365
113	174	1353
114	174	1341
115	174	1330
116	174	1319
117	175	1309
118	175	1298
119	175	1288
120	175	1278
121	176	1268
122	176	1259
123	177	1251
124	177	1241
125	177	1232
126	178	1223
127	178	1214
128	178	1205
129	178	1197
130	179	1188
131	179	1179
132	179	1170
133	179	1162
134	180	1153
135	180	1146
136	180	1139
137	181	1131
138	181	1124
139	182	1118
140	182	1111
141	182	1105
142	183	1098
143	183	1090
144	183	1083
145	184	1076
146	184	1069
147	184	1063
148	184	1056
149	185	1049
150	185	1042
151	185	1036
152	185	1029
153	186	1022
154	186	1015
155	186	1008
156	186	1001
157	186	995
158	187	989
159	187	983
160	187	977
161	187	971
162	188	966
163	188	959
164	188	953
165	188	946
166	188	940
167	188	934
168	188	927
169	188	921
170	189	916
171	189	911
172	189	906
173	189	901
174	190	896
175	190	890
176	190	885
177	190	880
178	191	878
179	192	876
180	192	872
181	193	867
182	193	863
183	193	859
184	194	855
185	194	850
186	194	847
187	195	842
188	195	838
189	195	834
190	195	829
191	196	825
192	196	821
193	196	817
194	197	813
195	197	810
196	197	806
197	198	802
198	198	798
199	198	793
200	198	789
201	198	785
202	199	781
203	199	776
204	199	772
205	199	768
206	199	764
207	199	760
208	199	756
209	200	752
210	200	748
211	200	745
212	200	741
213	200	737
214	201	734
215	201	731
216	201	727
217	201	724
218	202	720
219	202	717
220	202	713
221	202	710
222	202	707
223	203	703
224	203	701
225	203	698
226	204	695
227	204	692
228	204	688
229	204	685
230	205	682
231	205	679
232	205	676
233	205	673
234	206	671
235	206	668
236	206	665
237	207	662
238	207	659
239	207	656
240	207	653
241	207	650
242	207	647
243	208	644
244	208	641
245	208	638
246	208	635
247	208	632
248	208	629
249	208	626
250	209	624
251	209	621
252	209	618
253	209	615
254	209	612
255	209	609
256	210	607
257	210	604
258	210	601
259	210	599
260	210	596
261	210	593
262	211	591
263	211	589
264	211	586
265	211	584
266	211	581
267	212	579
268	212	577
269	212	574
270	212	571
271	212	569
272	212	566
273	213	564
274	213	561
275	213	559
276	213	557
277	213	554
